Country,Disaster Type,Total Deaths,Disaster_Occurred
Jamaica,Epidemic,16.0,1
Indonesia,Earthquake,6.0,1
Belgium,Explosion (Industrial),17.0,1
France,Mass movement (wet),30.0,1
United States Of America,Storm,332.0,1
Iran (Islamic Republic Of),Earthquake,1070.0,1
Mexico,Earthquake,400.0,1
Mexico,Earthquake,,1
Indonesia,Earthquake,,1
Greece,Earthquake,151.0,1
Japan,Earthquake,3000.0,1
Jamaica,Flood,53.0,1
United States Of America,Storm,40.0,1
United States Of America,Earthquake,116.0,1
Cuba,Storm,22.0,1
Trinidad And Tobago,Storm,13.0,1
Venezuela (Bolivarian Republic Of),Storm,,1
Jamaica,Storm,10.0,1
Belgium,Air,15.0,1
United Kingdom Of Great Britain And Northern Ireland,Air,73.0,1
China,Flood,18000.0,1
China,Earthquake,10000.0,1
United States Of America,Air,10.0,1
Soviet Union,Air,15.0,1
Belgium,Air,10.0,1
France,Rail,230.0,1
China,Earthquake,200.0,1
Italy,Earthquake,10.0,1
Japan,Fire (Miscellaneous),1500.0,1
China,Mass movement (wet),500.0,1
Romania,Earthquake,,1
Honduras,Storm,468.0,1
El Salvador,Storm,2000.0,1
United States Of America,Storm,10.0,1
Japan,Storm,3006.0,1
Philippines,Storm,,1
Philippines,Storm,85.0,1
Germany,Air,12.0,1
United States Of America,Water,137.0,1
Australia,Air,11.0,1
Belgium,Explosion (Industrial),56.0,1
Türkiye,Earthquake,100.0,1
Türkiye,Earthquake,20.0,1
Poland,Flood,55.0,1
Uganda,Epidemic,2000.0,1
Germany Federal Republic,Rail,30.0,1
Taiwan (Province Of China),Earthquake,3276.0,1
Germany,Air,11.0,1
Pakistan,Earthquake,60000.0,1
Taiwan (Province Of China),Earthquake,2746.0,1
United States Of America,Storm,408.0,1
Cuba,Storm,35.0,1
Bahamas,Storm,14.0,1
Jamaica,Storm,,1
Haiti,Storm,2150.0,1
India,Storm,100.0,1
India,Storm,60000.0,1
Soviet Union,Air,49.0,1
China,Flood,142000.0,1
Colombia,Air,17.0,1
Switzerland,Air,13.0,1
United States Of America,Air,10.0,1
Honduras,Air,14.0,1
Italy,Air,12.0,1
United Kingdom Of Great Britain And Northern Ireland,Air,11.0,1
Egypt,Air,12.0,1
Belgium,Explosion (Industrial),10.0,1
Iran (Islamic Republic Of),Earthquake,60.0,1
Iran (Islamic Republic Of),Earthquake,690.0,1
Türkiye,Earthquake,540.0,1
China,Earthquake,100.0,1
Norway,Mass movement (wet),73.0,1
United States Of America,Flood,114.0,1
