Country,Predicted_Disaster_Risk,Historical_Risk,Combined_Risk,Year
Finland,0.46577645051194544,88.2857142857143,0.32666722130825565,2026
France,0.48024175199089875,205.22522522522522,0.33761906677921005,2026
French Guiana,0.45997440273037543,10.0,0.32205272821626696,2026
French Polynesia,0.4360665529010239,8.5,0.3053066363899702,2026
Gabon,0.4644141069397042,24.176470588235293,0.32526067268930303,2026
Gambia,0.44904152445961315,112.5,0.31512383805302613,2026
Georgia,0.4944084186575654,24.208333333333332,0.3462569159903267,2026
German Democratic Republic,0.4601848691695108,84.16666666666667,0.3227240148191093,2026
Germany,0.3822042093287827,294.89285714285717,0.26962625560307424,2026
Germany Federal Republic,0.439778156996587,51.875,0.30821118760481997,2026
Ghana,0.4271245733788396,40.674698795180724,0.29927455308289136,2026
Greece,0.44644197952218434,137.62878787878788,0.31348168219811284,2026
Grenada,0.465637087599545,13.5,0.3260413338314371,2026
Guadeloupe,0.48441126279863483,195.9090909090909,0.3404719092979896,2026
Guam,0.4825,35.42857142857143,0.3380002897663005,2026
Guatemala,0.4269596131968146,658.233870967742,0.30352190831901615,2026
Guinea,0.4929607508532423,72.62337662337663,0.3455855829188063,2026
Guinea-Bissau,0.45962172923777017,134.5,0.3226854032687451,2026
Guyana,0.3802645051194539,311.6666666666667,0.2683869634229142,2026
Haiti,0.4608418657565415,1585.888888888889,0.3337930250442951,2026
Honduras,0.46991183162684863,341.47727272727275,0.3313506928949022,2026
Hungary,0.47750568828213874,131.0,0.33517944839305164,2026
Iceland,0.39277019340159275,10.2,0.2750111946122191,2026
India,0.412693401592719,5928.357235142119,0.3307670344556531,2026
Indonesia,0.46434015927189987,344.37819650067297,0.327471016201007,2026
Iran (Islamic Republic Of),0.5489505119453926,434.45641025641027,0.3873346323687737,2026
Iraq,0.47011660978384523,67.0,0.3295549570922196,2026
Ireland,0.49106939704209324,27.608695652173914,0.3439436231628463,2026
Israel,0.46,19.65,0.3221388199893332,2026
Italy,0.4981086461888509,800.6954732510288,0.3543326699940703,2026
Jamaica,0.5018543799772469,62.53061224489796,0.3517398216545478,2026
Japan,0.4698862343572241,623.0444444444445,0.3333219428353941,2026
Jordan,0.5359897610921502,35.416666666666664,0.37544303842806154,2026
Kazakhstan,0.4900255972696246,35.65625,0.34326981632001763,2026
Kenya,0.43007963594994314,58.50980392156863,0.30146909531031785,2026
